OrderID,Date,Category,SubCategory,Product,Region,State,City,CustomerSegment,Sales,Quantity,Discount,Profit,ShippingCost,ShipMode
1001,2024-01-03,Technology,Phones,Samsung Galaxy,West,California,Los Angeles,Consumer,1200.50,2,0.10,320.00,15.00,Standard Class
1002,2024-01-05,Furniture,Chairs,Office Chair,East,New York,New York City,Corporate,450.00,1,0.05,80.00,20.00,Second Class
1003,2024-01-07,Office Supplies,Paper,A4 Paper Pack,South,Texas,Houston,Consumer,35.00,5,0.00,12.00,5.00,First Class
1004,2024-01-10,Technology,Laptops,Dell Inspiron,West,California,San Francisco,Home Office,1800.00,1,0.15,400.00,25.00,Same Day
1005,2024-01-12,Furniture,Tables,Conference Table,East,New York,Buffalo,Corporate,950.00,1,0.20,150.00,40.00,Standard Class
1006,2024-01-14,Office Supplies,Binders,Heavy Duty Binder,South,Florida,Miami,Consumer,28.50,3,0.00,9.50,4.00,Second Class
1007,2024-01-16,Technology,Accessories,USB Hub,West,Oregon,Portland,Consumer,55.00,2,0.05,18.00,6.00,First Class
1008,2024-01-18,Furniture,Bookcases,Wooden Bookcase,East,Pennsylvania,Philadelphia,Home Office,320.00,1,0.10,55.00,18.00,Standard Class
1009,2024-01-20,Office Supplies,Labels,Address Labels,South,Georgia,Atlanta,Corporate,12.00,10,0.00,4.50,3.00,Second Class
1010,2024-01-22,Technology,Phones,iPhone 15,West,California,Los Angeles,Consumer,1100.00,1,0.00,280.00,12.00,Same Day
1011,2024-01-24,Furniture,Chairs,Executive Chair,East,Massachusetts,Boston,Corporate,680.00,2,0.10,120.00,22.00,First Class
1012,2024-01-26,Office Supplies,Envelopes,Padded Envelopes,South,Texas,Dallas,Consumer,18.00,8,0.00,6.00,3.50,Standard Class
1013,2024-01-28,Technology,Laptops,HP Pavilion,West,Washington,Seattle,Home Office,1350.00,1,0.10,310.00,22.00,Second Class
1014,2024-02-01,Furniture,Tables,Dining Table,East,New York,New York City,Consumer,780.00,1,0.05,130.00,35.00,Standard Class
1015,2024-02-03,Office Supplies,Paper,Glossy Photo Paper,South,Florida,Orlando,Consumer,42.00,4,0.05,14.00,4.50,First Class
1016,2024-02-05,Technology,Accessories,Wireless Mouse,West,California,San Diego,Corporate,45.00,3,0.00,16.00,5.00,Second Class
1017,2024-02-07,Furniture,Bookcases,Metal Bookcase,East,New Jersey,Newark,Home Office,280.00,1,0.15,40.00,16.00,Standard Class
1018,2024-02-09,Office Supplies,Binders,Presentation Binder,South,North Carolina,Charlotte,Consumer,22.00,5,0.00,8.00,3.00,First Class
1019,2024-02-11,Technology,Phones,OnePlus 12,West,Arizona,Phoenix,Consumer,850.00,1,0.05,200.00,10.00,Second Class
1020,2024-02-13,Furniture,Chairs,Folding Chair,East,Connecticut,Hartford,Corporate,120.00,4,0.10,20.00,12.00,Standard Class
1021,2024-02-15,Office Supplies,Labels,File Labels,South,Tennessee,Nashville,Consumer,9.50,12,0.00,3.50,2.50,First Class
1022,2024-02-17,Technology,Laptops,Lenovo ThinkPad,West,Nevada,Las Vegas,Corporate,1650.00,1,0.00,380.00,24.00,Same Day
1023,2024-02-19,Furniture,Tables,Coffee Table,East,New York,Albany,Consumer,420.00,1,0.10,70.00,28.00,Second Class
1024,2024-02-21,Office Supplies,Envelopes,Business Envelopes,South,Louisiana,New Orleans,Corporate,14.00,20,0.00,5.00,3.00,Standard Class
1025,2024-02-23,Technology,Accessories,Keyboard,West,California,Los Angeles,Consumer,75.00,2,0.05,25.00,7.00,First Class
1026,2024-03-01,Furniture,Chairs,Mesh Chair,East,Maryland,Baltimore,Home Office,520.00,2,0.10,90.00,20.00,Standard Class
1027,2024-03-03,Office Supplies,Paper,Recycled Paper,South,Virginia,Richmond,Consumer,28.00,6,0.00,10.00,4.00,Second Class
1028,2024-03-05,Technology,Phones,Google Pixel,West,California,San Jose,Corporate,950.00,2,0.10,240.00,14.00,First Class
1029,2024-03-07,Furniture,Bookcases,Corner Bookcase,East,Pennsylvania,Pittsburgh,Consumer,360.00,1,0.05,62.00,20.00,Standard Class
1030,2024-03-09,Office Supplies,Binders,Ring Binder,South,Texas,Austin,Consumer,16.00,8,0.00,6.00,3.00,First Class
1031,2024-03-11,Technology,Laptops,MacBook Air,West,Oregon,Eugene,Home Office,2200.00,1,0.00,520.00,30.00,Same Day
1032,2024-03-13,Furniture,Tables,Study Table,East,New York,Syracuse,Consumer,380.00,1,0.15,58.00,25.00,Second Class
1033,2024-03-15,Office Supplies,Labels,Shipping Labels,South,Florida,Tampa,Corporate,11.00,15,0.00,4.00,2.50,Standard Class
1034,2024-03-17,Technology,Accessories,Monitor Stand,West,Washington,Tacoma,Consumer,95.00,1,0.00,30.00,8.00,First Class
1035,2024-03-19,Furniture,Chairs,Gaming Chair,East,Massachusetts,Worcester,Consumer,750.00,1,0.05,140.00,28.00,Standard Class
1036,2024-03-21,Office Supplies,Envelopes,Catalog Envelopes,South,Georgia,Savannah,Consumer,16.50,10,0.00,6.00,3.00,Second Class
1037,2024-03-23,Technology,Phones,Motorola Edge,West,California,Fresno,Consumer,650.00,1,0.05,155.00,10.00,First Class
1038,2024-03-25,Furniture,Bookcases,Kids Bookcase,East,Rhode Island,Providence,Home Office,180.00,2,0.10,28.00,14.00,Standard Class
1039,2024-03-27,Office Supplies,Paper,Cardstock Paper,South,Alabama,Birmingham,Consumer,38.00,4,0.00,13.00,4.00,First Class
1040,2024-03-29,Technology,Laptops,Asus ROG,West,Colorado,Denver,Corporate,2500.00,1,0.05,580.00,35.00,Same Day
1041,2024-04-01,Furniture,Tables,Folding Table,East,New York,New York City,Corporate,220.00,2,0.10,35.00,20.00,Second Class
1042,2024-04-03,Office Supplies,Binders,D-Ring Binder,South,Texas,San Antonio,Consumer,24.00,6,0.00,9.00,3.50,Standard Class
1043,2024-04-05,Technology,Accessories,Webcam,West,California,Oakland,Home Office,120.00,1,0.00,38.00,8.00,First Class
1044,2024-04-07,Furniture,Chairs,Recliner Chair,East,Virginia,Norfolk,Consumer,890.00,1,0.10,165.00,32.00,Standard Class
1045,2024-04-09,Office Supplies,Labels,Round Labels,South,Mississippi,Jackson,Consumer,8.00,20,0.00,3.00,2.00,Second Class
1046,2024-04-11,Technology,Phones,Xiaomi 14,West,Arizona,Tucson,Consumer,700.00,1,0.05,168.00,10.00,First Class
1047,2024-04-13,Furniture,Bookcases,Floating Shelf,East,New York,Rochester,Consumer,140.00,3,0.10,22.00,12.00,Standard Class
1048,2024-04-15,Office Supplies,Envelopes,Bubble Mailers,South,Florida,Jacksonville,Corporate,20.00,15,0.00,7.50,3.00,First Class
1049,2024-04-17,Technology,Laptops,Surface Pro,West,Nevada,Reno,Home Office,1900.00,1,0.10,440.00,28.00,Same Day
1050,2024-04-19,Furniture,Tables,Outdoor Table,East,Connecticut,Bridgeport,Consumer,560.00,1,0.05,95.00,30.00,Second Class
1051,2024-04-21,Office Supplies,Paper,Copy Paper,South,South Carolina,Columbia,Consumer,32.00,5,0.00,11.00,4.00,Standard Class
1052,2024-04-23,Technology,Accessories,External SSD,West,California,Long Beach,Corporate,180.00,2,0.05,55.00,10.00,First Class
1053,2024-04-25,Furniture,Chairs,Bar Stool,East,New Jersey,Jersey City,Corporate,280.00,4,0.10,48.00,18.00,Standard Class
1054,2024-04-27,Office Supplies,Binders,Lever Arch File,South,Kentucky,Louisville,Consumer,19.00,7,0.00,7.00,3.00,Second Class
1055,2024-04-29,Technology,Phones,Sony Xperia,West,Oregon,Salem,Consumer,780.00,1,0.05,188.00,11.00,First Class
1056,2024-05-01,Furniture,Bookcases,Display Cabinet,East,Pennsylvania,Allentown,Home Office,420.00,1,0.10,72.00,22.00,Standard Class
1057,2024-05-03,Office Supplies,Labels,Color Labels,South,Arkansas,Little Rock,Consumer,10.00,18,0.00,3.80,2.50,First Class
1058,2024-05-05,Technology,Laptops,Chromebook,West,Washington,Spokane,Consumer,600.00,1,0.00,140.00,18.00,Second Class
1059,2024-05-07,Furniture,Tables,Bedside Table,East,New York,Yonkers,Consumer,195.00,2,0.10,32.00,16.00,Standard Class
1060,2024-05-09,Office Supplies,Envelopes,Window Envelopes,South,Oklahoma,Oklahoma City,Corporate,15.00,25,0.00,5.50,2.80,First Class
1061,2024-05-11,Technology,Accessories,USB-C Hub,West,California,Bakersfield,Consumer,85.00,2,0.00,27.00,7.00,Same Day
1062,2024-05-13,Furniture,Chairs,Accent Chair,East,Maryland,Annapolis,Consumer,480.00,1,0.05,85.00,22.00,Second Class
1063,2024-05-15,Office Supplies,Paper,Notebook,South,Texas,El Paso,Consumer,25.00,8,0.00,9.00,3.50,Standard Class
1064,2024-05-17,Technology,Phones,Nokia G60,West,California,Riverside,Consumer,480.00,1,0.10,112.00,9.00,First Class
1065,2024-05-19,Furniture,Bookcases,Wall Unit,East,Massachusetts,Springfield,Home Office,650.00,1,0.05,115.00,28.00,Standard Class
1066,2024-05-21,Office Supplies,Binders,Portfolio Binder,South,Missouri,Kansas City,Corporate,26.00,5,0.00,9.50,3.20,Second Class
1067,2024-05-23,Technology,Laptops,Acer Aspire,West,Arizona,Mesa,Consumer,980.00,1,0.10,225.00,20.00,First Class
1068,2024-05-25,Furniture,Tables,Console Table,East,New York,New York City,Corporate,340.00,1,0.15,52.00,22.00,Standard Class
1069,2024-05-27,Office Supplies,Labels,Name Badges,South,Indiana,Indianapolis,Consumer,7.50,30,0.00,2.80,2.00,Second Class
1070,2024-05-29,Technology,Accessories,Smart Speaker,West,California,Sacramento,Home Office,150.00,1,0.00,45.00,9.00,Same Day
1071,2024-06-01,Furniture,Chairs,Bench,East,Pennsylvania,Erie,Consumer,310.00,1,0.10,52.00,18.00,Standard Class
1072,2024-06-03,Office Supplies,Envelopes,Clasp Envelopes,South,Florida,Fort Lauderdale,Corporate,13.00,20,0.00,4.80,2.60,First Class
1073,2024-06-05,Technology,Phones,Samsung A54,West,Oregon,Portland,Consumer,520.00,2,0.05,125.00,11.00,Second Class
1074,2024-06-07,Furniture,Bookcases,Revolving Bookcase,East,New York,Poughkeepsie,Consumer,290.00,1,0.10,48.00,18.00,Standard Class
1075,2024-06-09,Office Supplies,Paper,Graph Paper,South,Georgia,Macon,Consumer,18.00,10,0.00,6.50,3.00,First Class
1076,2024-06-11,Technology,Laptops,MSI Creator,West,Nevada,Henderson,Corporate,2800.00,1,0.00,650.00,38.00,Same Day
1077,2024-06-13,Furniture,Tables,Side Table,East,Connecticut,New Haven,Consumer,165.00,2,0.10,26.00,14.00,Standard Class
1078,2024-06-15,Office Supplies,Binders,Expanding File,South,Tennessee,Memphis,Consumer,21.00,6,0.00,7.80,3.00,Second Class
1079,2024-06-17,Technology,Accessories,Headphones,West,California,Anaheim,Consumer,220.00,1,0.05,68.00,11.00,First Class
1080,2024-06-19,Furniture,Chairs,Lounge Chair,East,New Jersey,Trenton,Home Office,720.00,1,0.10,132.00,26.00,Standard Class
1081,2024-06-21,Office Supplies,Labels,Avery Labels,South,Virginia,Alexandria,Corporate,13.50,15,0.00,5.00,2.50,Second Class
1082,2024-06-23,Technology,Phones,Realme 12,West,Washington,Bellevue,Consumer,420.00,1,0.05,100.00,9.00,First Class
1083,2024-06-25,Furniture,Bookcases,Ladder Shelf,East,Pennsylvania,Reading,Consumer,240.00,1,0.05,40.00,16.00,Standard Class
1084,2024-06-27,Office Supplies,Envelopes,Security Envelopes,South,Florida,Miami,Corporate,17.00,18,0.00,6.20,3.00,First Class
1085,2024-06-29,Technology,Laptops,Dell XPS,West,California,Los Angeles,Home Office,2100.00,1,0.05,490.00,32.00,Same Day
1086,2024-07-01,Furniture,Tables,TV Stand,East,New York,New York City,Consumer,480.00,1,0.10,80.00,28.00,Second Class
1087,2024-07-03,Office Supplies,Paper,Tracing Paper,South,Texas,Houston,Consumer,22.00,7,0.00,8.00,3.50,Standard Class
1088,2024-07-05,Technology,Accessories,Drawing Tablet,West,Oregon,Portland,Corporate,350.00,1,0.05,108.00,15.00,First Class
1089,2024-07-07,Furniture,Chairs,Wingback Chair,East,Massachusetts,Lowell,Consumer,840.00,1,0.10,155.00,30.00,Standard Class
1090,2024-07-09,Office Supplies,Binders,Spiral Binder,South,Georgia,Columbus,Consumer,14.00,10,0.00,5.20,2.80,Second Class
1091,2024-07-11,Technology,Phones,Vivo V29,West,Arizona,Chandler,Consumer,580.00,1,0.05,139.00,10.00,First Class
1092,2024-07-13,Furniture,Bookcases,Tall Bookcase,East,Maryland,Frederick,Home Office,380.00,1,0.10,65.00,22.00,Standard Class
1093,2024-07-15,Office Supplies,Labels,Folder Labels,South,North Carolina,Raleigh,Corporate,9.00,20,0.00,3.30,2.20,First Class
1094,2024-07-17,Technology,Laptops,HP Spectre,West,California,San Bernardino,Consumer,1750.00,1,0.10,405.00,26.00,Same Day
1095,2024-07-19,Furniture,Tables,Accent Table,East,New York,Utica,Consumer,230.00,2,0.10,38.00,18.00,Standard Class
1096,2024-07-21,Office Supplies,Envelopes,Tyvek Envelopes,South,Alabama,Huntsville,Consumer,19.00,12,0.00,7.00,3.00,Second Class
1097,2024-07-23,Technology,Accessories,VR Headset,West,California,Stockton,Home Office,480.00,1,0.05,148.00,18.00,First Class
1098,2024-07-25,Furniture,Chairs,Patio Chair,East,Connecticut,Stamford,Consumer,290.00,4,0.10,50.00,20.00,Standard Class
1099,2024-07-27,Office Supplies,Paper,Watercolor Paper,South,Tennessee,Knoxville,Consumer,30.00,5,0.00,11.00,4.00,First Class
1100,2024-07-29,Technology,Phones,Oppo Find X,West,Nevada,Las Vegas,Corporate,920.00,1,0.05,220.00,13.00,Same Day
